Name,Sex,Age,Height,Weight,Team,NOC,Year,Season,City,Sport,Event,Medal
Manut Boonjumnong,M,24,173,64,Thailand,THA,2004,Summer,Athina,Boxing,Boxing Men's Light-Welterweight,Gold
Manut Boonjumnong,M,28,173,64,Thailand,THA,2008,Summer,Beijing,Boxing,Boxing Men's Light-Welterweight,Silver
Yaowapa Boorapolchai,F,19,159,49,Thailand,THA,2004,Summer,Athina,Taekwondo,Taekwondo Women's Flyweight,Bronze
Arkom Chenglai,M,22,170,67,Thailand,THA,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
Tawin Hanprab,M,18,176,58,Thailand,THA,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Flyweight,Silver
Prapawadee Jaroenrattanatarakoon,F,24,157,54,Thailand,THA,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Featherweight,Gold
Somjit Jongjohor,M,33,167,51,Thailand,THA,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,Gold
Wandee Kameaim,F,26,150,58,Thailand,THA,2004,Summer,Athina,Weightlifting,Weightlifting Women's Lightweight,Bronze
Somluck Kamsing,M,23,171,57,Thailand,THA,1996,Summer,Atlanta,Boxing,Boxing Men's Featherweight,Gold
Vichai Khadpo,M,28,163,51,Thailand,THA,1996,Summer,Atlanta,Boxing,Boxing Men's Bantamweight,Bronze
Sinphet Kruaithong,M,20,159,56,Thailand,THA,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Bantamweight,Bronze
Phajol Moolsan,M,20,163,54,Thailand,THA,1988,Summer,Seoul,Boxing,Boxing Men's Bantamweight,Bronze
Worapoj Petchkoom,M,23,170,54,Thailand,THA,2004,Summer,Athina,Boxing,Boxing Men's Bantamweight,Silver
Udomporn Polsak,F,22,150,53,Thailand,THA,2004,Summer,Athina,Weightlifting,Weightlifting Women's Featherweight,Gold
Kaeo Pongprayoon,M,32,160,49,Thailand,THA,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,Silver
Wijan Ponlid,M,24,162,51,Thailand,THA,2000,Summer,Sydney,Boxing,Boxing Men's Flyweight,Gold
Payao Poontarat,M,18,165,48,Thailand,THA,1976,Summer,Montreal,Boxing,Boxing Men's Light-Flyweight,Bronze
Suriya Prasathinphimai,M,24,175,75,Thailand,THA,2004,Summer,Athina,Boxing,Boxing Men's Middleweight,Bronze
Buttree Puedpong,F,17,157,49,Thailand,THA,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Flyweight,Silver
Pimsiri Sirikaew,F,22,152,58,Thailand,THA,2012,Summer,London,Weightlifting,Weightlifting Women's Lightweight,Silver
Pimsiri Sirikaew,F,26,152,58,Thailand,THA,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,Silver
Chanatip Sonkham,F,21,166,49,Thailand,THA,2012,Summer,London,Taekwondo,Taekwondo Women's Flyweight,Bronze
Sukanya Srisurat,F,21,155,58,Thailand,THA,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,Gold
Khassaraporn Suta,F,28,150,57,Thailand,THA,2000,Summer,Sydney,Weightlifting,Weightlifting Women's Lightweight,Bronze
Sopita Tanasan,F,21,154,48,Thailand,THA,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Gold
Pornchai Thongburan,M,26,173,71,Thailand,THA,2000,Summer,Sydney,Boxing,Boxing Men's Light-Middleweight,Bronze
Pawina Thongsuk,F,25,156,68,Thailand,THA,2004,Summer,Athina,Weightlifting,Weightlifting Women's Heavyweight,Gold
Thawee Umponmaha,M,24,167,63,Thailand,THA,1984,Summer,Los Angeles,Boxing,Boxing Men's Light-Welterweight,Silver
Arlee Wiratthaworn,F,24,149,48,Thailand,THA,2004,Summer,Athina,Weightlifting,Weightlifting Women's Flyweight,Bronze
Panipak Wongpattanakit,F,18,173,49,Thailand,THA,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
